portfolio_size,rebalance_day,exit_buffer,long_term_period_days,short_term_period_days,initial_capital,use_threshold_rebalancing,final_value,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,transaction_costs,win_ratio_pct,days_to_recovery
3,5,2.5,200,20,100000,True,208231.2679379154,108.23126793791542,16.43131251693628,1.0952467845337945,-18.904851630319808,197,1913.396713712768,87.5,700
3,5,2.5,200,30,100000,True,173703.0308853868,73.70303088538681,12.134328553758223,0.8025438628696839,-21.324287167683977,204,1986.746535330516,86.79245283018868,777
3,5,2.5,200,30,100000,False,213192.1277968123,113.19212779681229,17.00127973337464,1.1588367230920076,-16.915895118742508,173,1688.8795792780415,85.55555555555556,648
3,5,2.5,200,60,100000,False,202299.12479908284,102.29912479908285,15.735445676082914,1.063530861506436,-16.924551026423952,174,1627.9911774013522,82.10526315789474,686
3,5,2.5,200,60,100000,True,185752.36590475173,85.75236590475173,13.705068864679681,0.9159963655954729,-16.705461557368327,197,1901.1102537101672,80.9090909090909,693
3,5,2.5,220,20,100000,False,209548.1703965026,109.54817039650257,16.583655554744503,1.1580378368463355,-16.997886273829877,172,1606.5837873090509,90.0,640
3,5,2.5,220,20,100000,True,161492.55383730645,61.49255383730645,10.451858426425975,0.643469141628865,-19.904772614488287,197,1887.9027248106254,88.78504672897196,Not Recovered
3,5,2.5,220,30,100000,False,206328.540793161,106.32854079316098,16.209845193913175,1.100055545681434,-17.433535096825093,172,1481.7784634108798,89.69072164948454,560
3,5,2.5,220,30,100000,True,170242.8966725272,70.2428966725272,11.667334905864713,0.7417498040652121,-24.538917619365474,202,1644.7829094536005,89.38053097345133,802
3,5,2.5,220,60,100000,False,214390.45878227724,114.39045878227722,17.13738090549899,1.177949926443781,-17.292096718550788,172,1592.6948222609044,86.73469387755102,557
3,5,2.5,220,60,100000,True,192009.2437809364,92.0092437809364,14.489063714998785,0.9529339052939666,-21.68543190287806,201,1800.7656616085553,85.18518518518519,682
