Company Symbol,Book Value (TTM),CASH,Cash/Debt,Company Name,DEBT,Div. Yield,EPS (TTM),Enterprise Value,Face Value,Market Cap,No. of Shares,P/B,P/E,Profit Growth,Promoter Holding,ROCE,ROE,Sales Growth,Weightage
ISHAN,1.77,4.75,-0.08,Ishan International Ltd.,4.83,0.0,0.03,79.01,1.0,78.93,21.62,2.06,137.74,58.33,66.81,6.15,3.45,69.02,0.08
SHEETAL,10.0,0.0,0.0,Sheetal Universal Ltd.,0.0,0.0,1.8,77.79,10.0,77.79,1.15,6.79,37.8,-999.999,66.81,-999.999,-999.999,-999.999,0.07
MAGSON,29.3,0.71,-2.51,Magson Retail And Distribution Ltd.,3.22,0.4,3.58,80.23,10.0,77.72,0.79,3.38,27.67,12.77,70.06,36.66,33.58,13.36,0.07
PATTECH,24.86,0.35,-12.47,Pattech Fitwell Tube Components Ltd.,12.82,0.0,1.86,88.49,10.0,76.02,0.78,3.94,52.76,0.0,69.06,6.57,8.33,0.0,0.07
OMFURN,45.93,3.04,-8.34,Omfurn India Ltd.,11.38,0.0,3.11,82.93,10.0,74.59,1.18,1.38,20.37,472.88,50.96,18.52,16.44,127.73,0.07
VERTEXPLUS,43.18,0.37,-6.33,Vertexplus Technologies Ltd.,6.7,0.0,1.3,80.85,10.0,74.52,0.55,3.15,104.23,3.95,73.0,15.09,13.65,2.93,0.07
ARISTO,49.37,1.85,-20.64,Aristo Bio-Tech and Lifescience Ltd.,22.49,0.4,5.72,93.69,10.0,73.05,0.68,2.17,18.75,148.44,73.37,16.11,15.82,31.36,0.07
AGARWALFT,21.32,0.66,-8.32,Agarwal Float Glass India Ltd.,8.98,0.0,0.27,80.75,10.0,72.43,0.72,4.69,373.41,172.76,69.77,23.5,26.53,14.45,0.07
VIAZ,25.39,0.03,-10.84,Viaz Tyres Ltd.,10.87,0.0,1.94,82.51,10.0,71.67,1.23,2.3,30.21,40.28,73.08,11.74,10.88,57.26,0.07
MILTON,25.34,3.16,-13.31,Milton Industries Ltd.,16.47,0.0,1.88,84.94,10.0,71.63,1.7,1.66,22.46,11.79,72.96,9.28,6.89,2.17,0.07
GSTL,29.78,0.23,-6.95,Globesecure Technologies Ltd.,7.18,0.0,0.63,77.72,10.0,70.77,1.59,1.49,69.93,65.85,35.8,12.84,11.05,2.05,0.07
AMBANIORGO,55.83,5.84,-60.85,Ambani Orgochem Ltd.,66.69,0.0,4.25,129.0,10.0,68.15,0.71,1.73,22.69,3.09,57.95,7.6,6.06,5.64,0.06
TRIDHYA,19.84,0.03,-29.11,Tridhya Tech Ltd.,29.14,0.0,0.16,96.76,10.0,67.65,2.33,1.46,0.0,24.46,59.27,13.89,14.41,3.79,0.06
UWCSL,36.94,0.54,-4.58,Ultra Wiring Connectivity System Ltd.,5.12,0.0,3.74,71.96,10.0,67.39,0.52,3.51,34.59,48.05,74.13,17.06,13.77,50.5,0.06
KTL,28.29,2.06,-58.99,Kalahridhaan Trendz Ltd.,61.05,0.0,4.68,125.25,10.0,66.26,1.72,1.36,8.23,170.52,68.24,18.91,45.02,0.15,0.06
HRHNEXT,22.79,0.17,-9.99,HRH Next Services Ltd.,10.16,0.0,2.0,76.22,10.0,66.23,0.92,3.16,35.94,33.6,69.61,17.01,11.73,11.27,0.06
MONOPHARMA,15.98,0.23,-12.28,Mono Pharmacare Ltd.,12.51,0.0,1.38,78.36,10.0,66.08,1.77,2.34,27.06,0.0,56.72,4.03,4.04,0.0,0.06
VELS,46.82,7.46,-70.06,Vels Film International Ltd.,77.52,0.0,10.4,135.25,10.0,65.19,1.29,1.08,0.0,40.25,73.6,12.32,16.35,105.87,0.06
UCL,48.49,0.22,-3.71,Ushanti Colour Chem Ltd.,3.93,0.0,1.25,67.28,10.0,63.57,1.07,1.22,47.44,21.78,67.86,5.03,4.7,10.63,0.06
JFLLIFE,29.34,0.06,-7.12,JFL Life Sciences Ltd.,7.18,0.0,3.01,69.87,10.0,62.75,1.1,1.94,18.96,0.0,67.47,15.44,12.9,27.51,0.06
DKEGL,33.12,9.11,3.11,D.K. Enterprises Global Ltd.,6.0,2.47,5.56,59.59,10.0,62.69,0.75,2.52,15.03,9.29,73.3,19.39,17.87,1.91,0.06
MICROPRO,41.26,1.81,-2.17,Micropro Software Solutions Ltd.,3.98,0.0,2.17,64.8,10.0,62.63,1.43,1.06,20.15,121.69,46.6,46.16,43.8,26.49,0.06
YUDIZ,47.13,2.69,2.69,Yudiz Solutions Ltd.,0.0,0.0,2.78,59.74,10.0,62.43,1.03,1.28,0.0,271.5,73.67,43.56,31.3,45.6,0.06
AILIMITED,15.34,0.6,-5.01,Abhishek Integrations Ltd.,5.61,0.0,1.28,67.04,10.0,62.02,0.6,6.72,80.63,14.4,67.72,13.07,8.69,12.84,0.06
CPS,57.09,1.71,-7.49,C P S Shapers Ltd.,9.2,0.0,3.52,69.44,10.0,61.95,0.21,5.17,83.84,69.98,71.29,15.83,10.76,2.15,0.06
ITALIANE,31.52,0.22,-17.09,Italian Edibles Ltd.,17.31,0.0,2.09,78.92,10.0,61.84,1.48,1.33,19.99,229.4,73.47,19.48,27.93,16.18,0.06
